,0,1,2
0,504.0076,-6398.635,7406.65
1,-637.93604,-13426.401,12150.53
2,-1942.8262,-14953.717,11068.064
3,1011.407,-14169.177,16191.989
4,857.0837,-9061.146,10775.3125
5,-919.73,-14681.095,12841.634
6,-1325.842,-12530.63,9878.945
7,-1689.5275,-4861.9297,1482.8745
8,-5.57714,-4538.3906,4527.236
9,2133.932,-5986.448,10254.312
10,652.04315,-8103.922,9408.008
11,-2635.4023,-11266.244,5995.4395
12,-2438.8652,-7824.0723,2946.3416
13,-436.83252,-6217.481,5343.8154
14,-992.9782,-21166.426,19180.47
15,-185.2613,-14974.599,14604.074
16,-426.22336,-10452.518,9600.069
17,-38.724144,-12762.439,12684.991
18,-904.8819,-11105.517,9295.752
19,-54.741257,-6735.5615,6626.079
20,-3111.483,-10124.281,3901.3152
21,-1466.5576,-4618.3955,1685.28
22,2408.2598,15.629067,4800.89
23,2039.2366,-18931.078,23009.55
24,-42.738815,-4164.982,4079.5042
25,-3408.979,-12227.373,5409.415
26,-1274.4552,-15118.023,12569.113
27,1432.3405,-6443.181,9307.861
28,1217.045,-10752.43,13186.52
29,1.0096066,-7507.461,7509.48
30,-123.67833,-7511.045,7263.688
31,-1083.0488,-5455.1714,3289.0742
32,-1171.5669,-6020.3037,3677.1692
33,-774.66925,-8341.913,6792.5737
34,-2811.74,-7771.359,2147.8787
35,704.17035,-14986.486,16394.83
36,3648.6624,-2722.8728,10020.196
37,-643.07556,-11977.408,10691.256
38,-1908.5815,-6685.9194,2868.756
39,-1519.5139,-12062.808,9023.779
40,-1793.9412,-17213.578,13625.695
41,-1205.3624,-6383.482,3972.7566
42,1656.9867,-8696.299,12010.271
43,223.08037,-14044.238,14490.399
44,-1199.2357,-12174.384,9775.911
45,-1451.2146,-9851.629,6949.1987
46,-1613.2673,-5747.1836,2520.6484
47,159.41661,-13764.251,14083.082
48,-134.51149,-10018.856,9749.833
49,-1006.7605,-10702.048,8688.526
50,-1001.2111,-11061.72,9059.297
51,-143.9735,-9548.825,9260.878
52,-1338.8746,-8968.333,6290.584
53,-833.39636,-12218.603,10551.809
54,-1891.4955,-9497.734,5714.7427
55,516.4666,-5074.518,6107.4507
56,1558.4296,-5784.506,8901.364
57,1103.5317,-15280.464,17487.527
58,-2563.0803,-15405.897,10279.736
59,-5372.3706,-10071.185,-673.55707
60,-798.3357,-4313.581,2716.9094
61,1708.623,-5656.9155,9074.161
62,480.6285,-12050.826,13012.083
63,-284.5994,-11157.755,10588.557
64,-1404.7976,-8853.649,6044.053
65,-1951.03,-8565.375,4663.3145
66,55.502373,-18796.863,18907.87
67,-1651.9987,-13350.901,10046.903
68,-738.07666,-3953.2197,2477.0664
69,1270.4265,-12939.758,15480.611
70,2595.1155,-1702.5874,6892.818
71,2.7378018,-3335.2717,3340.7473
72,-2992.8638,-6349.6133,363.88535
73,-2731.3142,-17547.984,12085.358
74,-686.58966,-12222.012,10848.832
75,-114.4237,-7908.773,7679.926
76,2359.7131,-4762.396,9481.821
77,714.3724,-8963.002,10391.745
78,289.86484,-4108.625,4688.3545
79,-237.6802,-4595.5977,4120.237
80,-2986.1824,-19197.566,13225.2
81,-2501.5825,-10252.213,5249.0474
82,696.7949,-7113.969,8507.559
83,3761.893,-14244.2295,21768.016
84,3723.333,-13778.269,21224.936
85,-1509.8486,-12321.436,9301.737
86,-5315.3784,-19301.152,8670.397
87,-4324.956,-17997.24,9347.327
88,-335.75388,-9023.805,8352.296
89,4818.3765,-3570.1006,13206.854
90,4785.888,-7197.431,16769.209
91,750.80365,-15882.182,17383.79
92,-2142.7534,-28623.332,24337.828
93,-4649.573,-28825.686,19526.541
94,-1928.7771,-12140.125,8282.569
95,-1249.3138,-10700.013,8201.384
96,3884.6465,-3674.255,11443.547
97,4848.138,-10436.029,20132.309
98,2461.7983,-7642.1045,12565.701
99,-804.8306,-16514.678,14905.015
